,date,open,high,low,close,volume,tic,day
0,2017-01-03,15366.7998046875,15450.2998046875,15340.0,15403.0,201117500,^GSPTSE,1
1,2017-01-04,15433.900390625,15520.599609375,15412.5,15516.7998046875,215081200,^GSPTSE,2
2,2017-01-05,15542.099609375,15621.400390625,15537.400390625,15586.599609375,247712500,^GSPTSE,3
3,2017-01-06,15562.5,15562.900390625,15477.2998046875,15496.099609375,198912100,^GSPTSE,4
4,2017-01-09,15475.5,15475.5,15382.0,15389.0,186465200,^GSPTSE,0
5,2017-01-10,15422.7001953125,15459.099609375,15422.7001953125,15426.2998046875,218071500,^GSPTSE,1
6,2017-01-11,15457.599609375,15494.099609375,15404.2998046875,15491.5,247770500,^GSPTSE,2
7,2017-01-12,15499.2998046875,15499.2998046875,15380.099609375,15418.2001953125,240679500,^GSPTSE,3
8,2017-01-13,15419.599609375,15513.900390625,15403.400390625,15497.2998046875,188584200,^GSPTSE,4
9,2017-01-16,15494.900390625,15505.099609375,15442.7001953125,15479.2998046875,73294800,^GSPTSE,0
10,2017-01-17,15497.900390625,15500.400390625,15430.900390625,15441.400390625,207465500,^GSPTSE,1
11,2017-01-18,15430.900390625,15450.099609375,15366.2001953125,15397.900390625,232023600,^GSPTSE,2
12,2017-01-19,15411.599609375,15452.2001953125,15397.2998046875,15409.7998046875,183536700,^GSPTSE,3
13,2017-01-20,15467.7001953125,15573.2001953125,15467.7001953125,15547.900390625,209609500,^GSPTSE,4
14,2017-01-23,15531.0,15531.0,15421.2001953125,15480.099609375,189354900,^GSPTSE,0
15,2017-01-24,15489.2001953125,15622.099609375,15467.2998046875,15610.7001953125,257478800,^GSPTSE,1
16,2017-01-25,15631.2998046875,15674.2998046875,15625.2998046875,15643.7998046875,225249100,^GSPTSE,2
17,2017-01-26,15634.5,15652.2001953125,15590.2001953125,15615.5,196639700,^GSPTSE,3
18,2017-01-27,15614.7001953125,15648.2001953125,15543.5,15575.7998046875,162511800,^GSPTSE,4
19,2017-01-30,15544.099609375,15544.099609375,15366.7001953125,15405.099609375,201825700,^GSPTSE,0
20,2017-01-31,15393.0,15421.7998046875,15313.0,15386.0,250645400,^GSPTSE,1
21,2017-02-01,15423.7998046875,15442.900390625,15327.2001953125,15402.400390625,219188600,^GSPTSE,2
22,2017-02-02,15409.400390625,15435.5,15375.0,15399.099609375,209702900,^GSPTSE,3
23,2017-02-03,15437.7998046875,15502.5,15396.0,15476.400390625,189442200,^GSPTSE,4
24,2017-02-06,15488.900390625,15492.7001953125,15425.5,15456.900390625,189735800,^GSPTSE,0
25,2017-02-07,15470.400390625,15516.2998046875,15459.599609375,15498.7998046875,217956900,^GSPTSE,1
26,2017-02-08,15482.099609375,15554.0,15414.099609375,15554.0,236404100,^GSPTSE,2
27,2017-02-09,15583.599609375,15635.7998046875,15583.599609375,15617.2998046875,204203000,^GSPTSE,3
28,2017-02-10,15651.7998046875,15736.599609375,15645.599609375,15729.099609375,220292600,^GSPTSE,4
29,2017-02-13,15750.7001953125,15769.7001953125,15732.7998046875,15756.599609375,177735900,^GSPTSE,0
30,2017-02-14,15756.0,15800.2998046875,15713.5,15786.0,203943600,^GSPTSE,1
31,2017-02-15,15790.099609375,15850.0,15784.400390625,15845.0,218503900,^GSPTSE,2
32,2017-02-16,15842.2998046875,15865.5,15820.7001953125,15864.2001953125,227255900,^GSPTSE,3
33,2017-02-17,15809.7998046875,15848.400390625,15789.099609375,15838.599609375,201416400,^GSPTSE,4
34,2017-02-21,15873.7998046875,15943.099609375,15861.599609375,15922.400390625,225803600,^GSPTSE,1
35,2017-02-22,15890.7998046875,15901.400390625,15830.2001953125,15830.2001953125,219354600,^GSPTSE,2
36,2017-02-23,15900.900390625,15913.400390625,15774.900390625,15781.2001953125,246185700,^GSPTSE,3
37,2017-02-24,15718.0,15719.7001953125,15513.7998046875,15533.5,253962800,^GSPTSE,4
38,2017-02-27,15544.2998046875,15547.2001953125,15463.5,15463.5,431018400,^GSPTSE,0
39,2017-02-28,15465.5,15525.099609375,15396.2998046875,15399.2001953125,310033800,^GSPTSE,1
40,2017-03-01,15534.7001953125,15631.400390625,15481.0,15599.7001953125,267459400,^GSPTSE,2
41,2017-03-02,15586.7998046875,15620.599609375,15532.099609375,15536.7001953125,232759400,^GSPTSE,3
42,2017-03-03,15522.599609375,15622.2001953125,15521.2998046875,15608.5,216741700,^GSPTSE,4
43,2017-03-06,15570.7001953125,15631.2001953125,15499.599609375,15629.7998046875,203871700,^GSPTSE,0
44,2017-03-07,15617.400390625,15637.599609375,15577.2998046875,15608.7998046875,209343000,^GSPTSE,1
45,2017-03-08,15602.2998046875,15645.599609375,15488.900390625,15497.0,219321900,^GSPTSE,2
46,2017-03-09,15501.5,15583.900390625,15431.0,15496.7998046875,234936400,^GSPTSE,3
47,2017-03-10,15543.099609375,15573.5,15422.099609375,15506.7001953125,225497900,^GSPTSE,4
48,2017-03-13,15495.5,15566.2998046875,15495.5,15544.7998046875,233150100,^GSPTSE,0
49,2017-03-14,15474.599609375,15474.599609375,15370.900390625,15379.599609375,229413500,^GSPTSE,1
50,2017-03-15,15436.5,15534.2001953125,15419.900390625,15520.900390625,259678800,^GSPTSE,2
51,2017-03-16,15562.900390625,15607.099609375,15556.599609375,15562.400390625,203344500,^GSPTSE,3
52,2017-03-17,15563.0,15623.2998046875,15490.5,15490.5,498165600,^GSPTSE,4
53,2017-03-20,15490.7998046875,15508.2998046875,15391.599609375,15442.2998046875,188533500,^GSPTSE,0
54,2017-03-21,15456.099609375,15519.5,15299.5,15313.099609375,214897700,^GSPTSE,1
55,2017-03-22,15274.2001953125,15365.5,15241.599609375,15348.5,224717000,^GSPTSE,2
56,2017-03-23,15350.0,15468.2998046875,15326.099609375,15433.599609375,191565100,^GSPTSE,3
57,2017-03-24,15466.7998046875,15485.2998046875,15422.2001953125,15442.7001953125,167699800,^GSPTSE,4
58,2017-03-27,15368.7001953125,15512.2001953125,15332.099609375,15506.2001953125,188275700,^GSPTSE,0
59,2017-03-28,15522.400390625,15613.599609375,15522.400390625,15598.599609375,232617000,^GSPTSE,1
60,2017-03-29,15585.5,15661.599609375,15545.0,15657.599609375,184256000,^GSPTSE,2
61,2017-03-30,15653.400390625,15664.099609375,15537.7998046875,15578.7998046875,184165000,^GSPTSE,3
62,2017-03-31,15557.599609375,15607.599609375,15544.0,15547.7998046875,226075100,^GSPTSE,4
63,2017-04-03,15587.0,15633.2998046875,15457.7998046875,15584.400390625,208062900,^GSPTSE,0
64,2017-04-04,15555.2998046875,15682.7001953125,15555.2998046875,15669.099609375,180643800,^GSPTSE,1
65,2017-04-05,15717.7001953125,15758.400390625,15642.2001953125,15643.0,227717500,^GSPTSE,2
66,2017-04-06,15684.7998046875,15728.599609375,15659.7998046875,15697.2001953125,180306700,^GSPTSE,3
67,2017-04-07,15699.599609375,15704.099609375,15641.2998046875,15667.099609375,214293300,^GSPTSE,4
68,2017-04-10,15657.2998046875,15757.7998046875,15642.7998046875,15730.7998046875,164370600,^GSPTSE,0
69,2017-04-11,15732.900390625,15738.2998046875,15604.099609375,15727.099609375,221277700,^GSPTSE,1
70,2017-04-12,15701.099609375,15714.5,15643.0,15648.400390625,208125600,^GSPTSE,2
71,2017-04-13,15634.7001953125,15634.7001953125,15529.0,15535.5,179648400,^GSPTSE,3
72,2017-04-17,15562.2998046875,15687.7998046875,15562.2998046875,15684.900390625,160815800,^GSPTSE,0
73,2017-04-18,15643.0,15659.400390625,15543.400390625,15622.599609375,206884300,^GSPTSE,1
74,2017-04-19,15658.7998046875,15683.900390625,15532.7998046875,15552.900390625,222195500,^GSPTSE,2
75,2017-04-20,15583.5,15675.0,15566.0,15625.599609375,198428200,^GSPTSE,3
76,2017-04-21,15609.0,15640.7998046875,15584.599609375,15614.5,177328600,^GSPTSE,4
77,2017-04-24,15693.900390625,15763.2998046875,15682.599609375,15712.5,202147700,^GSPTSE,0
78,2017-04-25,15748.400390625,15792.599609375,15735.599609375,15745.2001953125,251930500,^GSPTSE,1
79,2017-04-26,15744.7001953125,15755.2001953125,15649.5,15649.5,235581100,^GSPTSE,2
80,2017-04-27,15643.599609375,15643.599609375,15427.2998046875,15506.5,277398200,^GSPTSE,3
81,2017-04-28,15542.2001953125,15630.0,15503.599609375,15586.099609375,216799900,^GSPTSE,4
82,2017-05-01,15601.7001953125,15605.900390625,15561.599609375,15575.599609375,202493500,^GSPTSE,0
83,2017-05-02,15590.2998046875,15656.0,15565.7001953125,15619.7001953125,254795900,^GSPTSE,1
84,2017-05-03,15591.2001953125,15639.7001953125,15537.5,15543.099609375,240566200,^GSPTSE,2
85,2017-05-04,15510.0,15523.900390625,15367.400390625,15396.7001953125,275477100,^GSPTSE,3
86,2017-05-05,15441.599609375,15594.5,15423.2998046875,15582.0,213120600,^GSPTSE,4
87,2017-05-08,15624.900390625,15661.2998046875,15592.5,15652.099609375,199934100,^GSPTSE,0
88,2017-05-09,15644.099609375,15672.2001953125,15516.7001953125,15569.2001953125,209499100,^GSPTSE,1
89,2017-05-10,15567.5,15643.099609375,15565.900390625,15633.2001953125,245801500,^GSPTSE,2
90,2017-05-11,15616.7998046875,15636.400390625,15526.0,15550.599609375,255468800,^GSPTSE,3
91,2017-05-12,15550.7998046875,15603.0,15505.099609375,15537.900390625,200337600,^GSPTSE,4
92,2017-05-15,15625.7001953125,15674.599609375,15613.7998046875,15629.5,207388000,^GSPTSE,0
93,2017-05-16,15650.0,15700.599609375,15542.599609375,15543.2998046875,211461200,^GSPTSE,1
94,2017-05-17,15501.599609375,15501.599609375,15273.7001953125,15273.7001953125,23474800,^GSPTSE,2
95,2017-05-18,15229.2998046875,15336.599609375,15164.7001953125,15277.2001953125,234164500,^GSPTSE,3
96,2017-05-19,15347.0,15469.900390625,15334.900390625,15458.5,209881600,^GSPTSE,4
97,2017-05-23,15521.099609375,15538.7998046875,15465.900390625,15476.900390625,225545100,^GSPTSE,1
98,2017-05-24,15470.5,15470.5,15326.900390625,15419.5,204849000,^GSPTSE,2
99,2017-05-25,15463.599609375,15504.0,15340.2998046875,15410.7001953125,191402900,^GSPTSE,3
100,2017-05-26,15429.0,15429.400390625,15368.2998046875,15416.900390625,151789900,^GSPTSE,4
101,2017-05-29,15420.2998046875,15460.5,15405.2998046875,15421.900390625,58843500,^GSPTSE,0
102,2017-05-30,15396.2001953125,15429.0,15360.900390625,15372.400390625,161106700,^GSPTSE,1
103,2017-05-31,15374.400390625,15382.099609375,15254.099609375,15349.900390625,374619900,^GSPTSE,2
104,2017-06-01,15363.099609375,15493.900390625,15337.5,15469.900390625,224803200,^GSPTSE,3
105,2017-06-02,15466.099609375,15466.099609375,15419.400390625,15442.7998046875,179056300,^GSPTSE,4
106,2017-06-05,15420.599609375,15447.7001953125,15344.900390625,15409.7998046875,143408600,^GSPTSE,0
107,2017-06-06,15378.2001953125,15471.099609375,15368.2998046875,15464.599609375,213763200,^GSPTSE,1
108,2017-06-07,15445.7001953125,15495.7998046875,15356.7998046875,15372.099609375,217926200,^GSPTSE,2
109,2017-06-08,15354.900390625,15423.7001953125,15342.7998046875,15423.099609375,196666200,^GSPTSE,3
110,2017-06-09,15415.2001953125,15505.2001953125,15401.099609375,15473.2001953125,234931800,^GSPTSE,4
111,2017-06-12,15476.2998046875,15594.2001953125,15354.2998046875,15383.7998046875,213191100,^GSPTSE,0
112,2017-06-13,15380.2001953125,15380.900390625,15296.099609375,15379.7998046875,222944700,^GSPTSE,1
113,2017-06-14,15381.599609375,15381.599609375,15166.2998046875,15170.099609375,273769200,^GSPTSE,2
114,2017-06-15,15111.7998046875,15176.400390625,15078.0,15160.400390625,221256000,^GSPTSE,3
115,2017-06-16,15148.5,15214.2001953125,15092.2998046875,15192.5,858888100,^GSPTSE,4
116,2017-06-19,15242.900390625,15325.900390625,15234.7001953125,15266.0,187796400,^GSPTSE,0
117,2017-06-20,15228.599609375,15228.900390625,15136.7001953125,15149.599609375,187916100,^GSPTSE,1
118,2017-06-21,15163.099609375,15246.0,15125.099609375,15148.5,199182100,^GSPTSE,2
119,2017-06-22,15157.099609375,15266.7001953125,15153.0,15219.900390625,208581200,^GSPTSE,3
120,2017-06-23,15240.7001953125,15344.599609375,15221.7998046875,15319.599609375,175042300,^GSPTSE,4
121,2017-06-26,15331.0,15378.7001953125,15264.7001953125,15316.0,149923100,^GSPTSE,0
122,2017-06-27,15328.2001953125,15354.400390625,15274.400390625,15281.2001953125,193094700,^GSPTSE,1
123,2017-06-28,15306.7998046875,15368.900390625,15264.599609375,15355.599609375,170469800,^GSPTSE,2
124,2017-06-29,15359.0,15359.0,15148.2998046875,15213.400390625,188734400,^GSPTSE,3
125,2017-06-30,15233.7998046875,15239.599609375,15114.599609375,15182.2001953125,183600900,^GSPTSE,4
